title,Sum of view_count,Sum of like_count,Sum of comment_count
বাঙালি মায়ে রা যা করে 🤣 America 🇺🇸 Vs Japan🇯🇵 Vs Bangladesh 🇧🇩 #shorts,7933670,534437,2868
বাঙালি বাবা যখন ড্রিংক্স করে 🤣 | When Dad Drinking 🤣 Father Vs Son #shorts,6295555,136027,202
বাঙালি বউ স্বামীর মোবাইল কেটে ফেললো 🤣 | Husband Vs Wife #shorts,12878194,458951,1334
বাঙালি যখন প্রেম করে বিয়ে করে 🤣 | Arrange Marriage Vs Love Marriage #shorts,1603362,55233,186
বাঙালি জামাই যখন সব ভুলে যায় 😂 | Husband Vs Wife #shorts,3917469,116533,210
বাংলায় ডাব করা তামিল মুভি - FULL HD Movie Dubbed in Bengali | Superhit Bangla Dubbed Action Movie,2469629,12920,458
বউয়ের কোন গ্যারান্টি নাই | Bouer Kono Gurantee Nai | Shamim Hasan Sarkar | Ahona | Bangla Natok 2023,4584082,27205,464
ফিলিস্তিন নিয়ে নবীজি যা বলে গেছেন আল্লামা লুৎফুর রহমান Lutfur Rahman,1877971,26073,990
"জগৎ পরে, আগের নিজের দেশটা দেখে নেন | ইত্যাদি ঝালকাঠি পর্ব ২০২২ #shorts",1835342,63126,44
এবার ঘোষণা দিয়ে ইসরায়েল-হামাস যুদ্ধে যোগ দিলো ইরাক,929554,16118,814
ইসরায়েল-ফিলিস্তিন সং'ঘা'ত ঠেকাতে জো বাইডেনের তোড়জোর | Israel | Palestine | Rtv News,3275568,25202,714
ইসরায়েলের বিরুদ্ধে লড়তে প্রস্তুত হিজবুল্লাহ; ভাগ্য ঘুরবে ফিলিস্তিনিদের ?,5001482,53959,2135
ইসরায়েলে ঢুকে হা-ম-লা-র নতুন ভিডিও প্রকাশ করল যোদ্ধারা!  Israel Palestine Conflict | Channel 24,5184361,90063,5661
আরব নেতাদের হা'মা'সের বিপক্ষে নিতে ব্যর্থ হচ্ছে মার্কিন পররাষ্ট্রমন্ত্রী | Rtv News,3661752,54371,1849
सजा मिलेगी 😂😡 #shortvideo #funnyvideos #bloopers,34611092,478224,192
मैं भी लड़की को propose करूंगा😂😂#funny #realfools #surajroxfunnyvibeo #vikramcomedyvideo  #girl,109068243,4332645,7526
मेरे बुरे वक्त पर कोई काम आये या ना आए लेकिन मेरा दोस्त ज़रूर काम आएगा🥹@Rajiya_sultan||Subscribe,31049115,1313670,946
माँ शक्ति ॥नवरात्रि स्पेशल ॥Riya Kaur ॥#shortsvideo,8459418,418516,576
भक्ति मे शक्ति ॥नवरात्रि स्पेशल ॥A hearttouching story ॥Riya Kaur ॥#shortsvideo,17853194,719957,609
"देखिए, पाकिस्तान ने खिलाफ Rashid ने तिरंगा फहराकर मनाया जश्न तो तालिबानियों ने कहा ऐसा जीता दिल",778224,7397,551
इतनी कम उम्र में तैरना क्यों सिखाते हैं,66216040,0,0
والله إلا صدمتني بولد الحمدلله على كل حال,514906,14228,2244
وأخيراااا جوله ف مملكتي💣 اللي كنت بحلم اجددها🙈اكرمنى ربي بإللي أكبر من خيالي شكرا ي الله🙏,295679,16695,1248
واخيراا حددت ميعاد الولاده🤰🥺,664696,42950,2910
واخيرا…تحضيرات لحفل زفافي👰‍♀️(1)شوفو شنو وجدت🌿داكشي كيحمق بلا متشريهم🥰,104090,4191,421
